taxid	scientific_name	rank	group	domain	kingdom	phylum	class	order	family	genus	clade	clade_from	lineage
1723736	Plantactinospora solaniradicis	species	Bacteria	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Plantactinospora	Actinomycetota	phylum	cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Micromonosporales; Micromonosporaceae; Plantactinospora
1725252	Atlanticothrix silvestris CENA357	strain	Bacteria	Bacteria	Bacillati	Cyanobacteriota	Cyanophyceae	Nostocales	Nodulariaceae	Atlanticothrix	Cyanobacteriota	phylum	cellular organisms; Bacteria; Bacillati; Cyanobacteriota/Melainabacteria group; Cyanobacteriota; Cyanophyceae; Nostocales; Nodulariaceae; Atlanticothrix; Atlanticothrix silvestris
1725256	Dendronalium phyllosphericum CENA369	strain	Bacteria	Bacteria	Bacillati	Cyanobacteriota	Cyanophyceae	Nostocales	Nostocaceae	Dendronalium	Cyanobacteriota	phylum	cellular organisms; Bacteria; Bacillati; Cyanobacteriota/Melainabacteria group; Cyanobacteriota; Cyanophyceae; Nostocales; Nostocaceae; Dendronalium; Dendronalium phyllosphericum
1734049	Serpentinicella alkaliphila	species	Bacteria	Bacteria	Bacillati	Bacillota	Clostridia	Peptostreptococcales	Natronincolaceae	Serpentinicella	Bacillota	phylum	cellular organisms; Bacteria; Bacillati; Bacillota; Clostridia; Peptostreptococcales; Natronincolaceae; Serpentinicella
1734106	Kwoniella shandongensis	species	Fungi	Eukaryota	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Kwoniella	Basidiomycota	phylum	cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Basidiomycota; Agaricomycotina; Tremellomycetes; Tremellales; Cryptococcaceae; Kwoniella
1735038	Oryzomicrobium terrae	species	Bacteria	Bacteria	Pseudomonadati	Pseudomonadota	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	Oryzomicrobium	Pseudomonadota	phylum	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Betaproteobacteria; Rhodocyclales; Rhodocyclaceae; Oryzomicrobium
1735111	Bergeyella porcorum	species	Bacteria	Bacteria	Pseudomonadati	Bacteroidota	Flavobacteriia	Flavobacteriales	Weeksellaceae	Bergeyella	Bacteroidota	phylum	cellular organisms; Bacteria; Pseudomonadati; FCB group; Bacteroidota/Chlorobiota group; Bacteroidota; Flavobacteriia; Flavobacteriales; Weeksellaceae; Bergeyella
1735373	Gaetbulibacter aquiaggeris	species	Bacteria	Bacteria	Pseudomonadati	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Gaetbulibacter	Bacteroidota	phylum	cellular organisms; Bacteria; Pseudomonadati; FCB group; Bacteroidota/Chlorobiota group; Bacteroidota; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Gaetbulibacter
1736674	Pseudalgibacter alginicilyticus	species	Bacteria	Bacteria	Pseudomonadati	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Pseudalgibacter	Bacteroidota	phylum	cellular organisms; Bacteria; Pseudomonadati; FCB group; Bacteroidota/Chlorobiota group; Bacteroidota; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Pseudalgibacter
1736751	Hyphobacterium vulgare	species	Bacteria	Bacteria	Pseudomonadati	Pseudomonadota	Alphaproteobacteria	Maricaulales	Maricaulaceae	Hyphobacterium	Pseudomonadota	phylum	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Alphaproteobacteria; Maricaulales; Maricaulaceae; Hyphobacterium
