upid	organism	taxid	group	protein_count	n_itpr	n_ryr	n_unassigned	best_itpr_score	best_itpr_evalue	best_itpr_acc	itpr_status
UP000075883	Anopheles culicifacies	139723	metazoa_nonvert	14342	1	1	6	3645.0	0	A0A182MHW8	present
UP000075884	Anopheles dirus	7168	metazoa_nonvert	13101	1	1	6	3614.1	0	A0A182NJ16	present
UP000075885	Anopheles epiroticus	199890	metazoa_nonvert	11991	2	1	5	2567.1	0	A0A182PPG3	present
UP000075886	Anopheles farauti	69004	metazoa_nonvert	13014	1	1	8	3630.8	0	A0A182Q3P2	present
UP000075901	Anopheles maculatus	74869	metazoa_nonvert	14865	4	5	9	888.3	6.2e-264	A0A182S998	present
UP000075902	Anopheles melas	34690	metazoa_nonvert	15232	1	1	7	1544.8	0	A0A182TMK2	present
UP000075903	Anopheles merus (Mosquito)	30066	metazoa_nonvert	13295	1	1	7	3638.0	0	A0A182UY18	present
UP000075920	Anopheles minimus	112268	metazoa_nonvert	12975	1	1	7	3607.6	0	A0A182WC14	present
UP000076407	Anopheles quadriannulatus (Mosquito)	34691	metazoa_nonvert	13801	1	1	7	3637.8	0	A0A903ZG16	present
UP000076408	Anopheles stephensi (Indo-Pakistan malaria mosquito)	30069	metazoa_nonvert	11768	1	1	8	3634.2	0	A0A182YFI7	present
UP000076502	Dufourea novaeangliae (Sweat bee)	178035	metazoa_nonvert	11355	1	2	5	3619.6	0	A0A154P6Q2	present
UP000076858	Daphnia magna	35525	metazoa_nonvert	26600	1	1	4	3660.9	0	A0A0P5ZUN0	present
UP000078046	Intoshia linei	1819745	metazoa_nonvert	8720	6	5	8	585.9	8.7e-173	A0A177AYP9	present
UP000078200	Glossina austeni (Savannah tsetse fly)	7395	metazoa_nonvert	19647	2	1	6	3598.4	0	A0A1A9VB51	present
UP000078492	Trachymyrmex cornetzi	471704	metazoa_nonvert	18657	1	1	5	3756.2	0	A0A195EIV8	present
UP000078540	Atta colombica	520822	metazoa_nonvert	14143	1	1	5	3772.1	0	A0A195BFQ8	present
UP000078541	Trachymyrmex septentrionalis	34720	metazoa_nonvert	15167	1	1	8	3721.1	0	A0A195F4X6	present
UP000078542	Cyphomyrmex costatus	456900	metazoa_nonvert	15716	1	1	6	3713.6	0	A0A195CBD1	present
UP000079169	Diaphorina citri (Asian citrus psyllid)	121845	metazoa_nonvert	21517	1	3	12	3351.3	0	A0A3Q0IVR9	present
UP000085678	Lingula anatina (Brachiopod) (Lingula unguis)	7574	metazoa_nonvert	34415	7	3	12	3505.2	0	A0A1S3JYY5	present
UP000091820	Glossina brevipalpis	37001	metazoa_nonvert	14631	1	1	5	3605.8	0	A0A1A9X1V5	present
UP000092443	Glossina fuscipes	7396	metazoa_nonvert	17759	1	1	6	3588.7	0	A0A9C5ZFN5	present
UP000092444	Glossina morsitans morsitans (Savannah tsetse fly)	37546	metazoa_nonvert	12910	1	1	6	3577.5	0	A0A1B0FD97	present
UP000092445	Glossina pallidipes (Tsetse fly)	7398	metazoa_nonvert	19235	1	1	6	3599.9	0	A0A1A9Z8G3	present
UP000092460	Glossina palpalis gambiensis	67801	metazoa_nonvert	19957	2	1	6	3652.7	0	A0A1B0AXI4	present
UP000092461	Lutzomyia longipalpis (Sand fly)	7200	metazoa_nonvert	10419	2	1	9	2390.4	0	A0A1B0CVJ7	present
UP000092462	Phlebotomus papatasi (Sandfly)	29031	metazoa_nonvert	11386	3	2	7	1321.9	0	A0A1B0DF68	present
UP000094527	Orchesella cincta (Springtail) (Podura cincta)	48709	metazoa_nonvert	20218	1	4	9	1891.9	0	A0A1D2MPJ9	present
UP000095280	Macrostomum lignano	282301	metazoa_nonvert	52448	62	8	130	3104.5	0	A0A1I8HQ72	present
UP000095281	Meloidogyne hapla (Root-knot nematode worm)	6305	metazoa_nonvert	14379	2	4	5	1354.7	0	A0A1I8AZG3	present
UP000095282	Caenorhabditis tropicalis	1561998	metazoa_nonvert	27198	2	4	12	1478.5	0	A0A1I7UCK7	present
UP000095285	Loa loa (Eye worm) (Filaria loa)	7209	metazoa_nonvert	12226	1	1	10	2462.7	0	A0A1I7VYX4	present
UP000095300	Stomoxys calcitrans (Stable fly) (Conops calcitrans)	35570	metazoa_nonvert	18841	1	1	6	3707.2	0	A0A1I8P727	present
UP000183832	Clunio marinus	568069	metazoa_nonvert	22544	1	1	5	3583.7	0	A0A1J1I8G9	present
UP000186922	Ramazzottius varieornatus (Water bear) (Tardigrade)	947166	metazoa_nonvert	22940	1	3	9	2813.2	0	A0A1D1V0T1	present
UP000192223	Agrilus planipennis (Emerald ash borer) (Agrilus marcopoli)	224129	metazoa_nonvert	18772	1	2	5	3761.3	0	A0A1W4WKP9	present
UP000192247	Tropilaelaps mercedesae	418985	metazoa_nonvert	14292	2	2	7	2181.5	0	A0A1V9XEK6	present
UP000192578	Hypsibius exemplaris (Freshwater tardigrade)	2072580	metazoa_nonvert	20832	1	3	10	2880.5	0	A0A1W0X7F9	present
UP000194236	Euroglyphus maynei (Mayne's house dust mite)	6958	metazoa_nonvert	15246	4	5	4	1427.6	0	A0A1Y3B4M9	present
UP000198287	Folsomia candida (Springtail)	158441	metazoa_nonvert	28565	1	1	9	2265.3	0	A0A226F1K6	present
UP000215335	Trichomalopsis sarcophagae	543379	metazoa_nonvert	16064	1	1	6	3794.2	0	A0A232FML4	present
UP000215902	Macrostomum lignano	282301	metazoa_nonvert	43466	23	5	83	3385.6	0	A0A267FK94	present
UP000216463	Caenorhabditis latens	1503980	metazoa_nonvert	25394	1	1	10	2923.6	0	A0A261BQG3	present
UP000216624	Caenorhabditis remanei (Caenorhabditis vulgaris)	31234	metazoa_nonvert	25466	1	1	10	2930.1	0	A0A261AIN3	present
UP000218231	Diploscapter pachys	2018661	metazoa_nonvert	33981	2	1	18	2500.8	0	A0A2A2LN25	present
UP000225706	Stylophora pistillata (Smooth cauliflower coral)	50429	metazoa_nonvert	23873	1	0	23	2554.7	0	A0A2B4T0S0	present
UP000230066	Fasciola hepatica (Liver fluke)	6192	metazoa_nonvert	11190	1	1	9	1679.8	0	A0A4E0RYC0	present
UP000230423	Teladorsagia circumcincta (Brown stomach worm) (Ostertagia circumcincta)	45464	metazoa_nonvert	25373	10	11	32	682.0	9.3e-202	A0A2G9U492	present
UP000230750	Apostichopus japonicus (Japanese spiky sea cucumber) (Stichopus japonicus)	307972	metazoa_nonvert	30032	3	7	8	2456.6	0	A0A2G8KPF5	present
UP000235965	Cryptotermes secundus	105785	metazoa_nonvert	27252	1	2	8	3486.9	0	A0A2J7QR08	present
UP000242188	Mizuhopecten yessoensis (Japanese scallop) (Patinopecten yessoensis)	6573	metazoa_nonvert	22409	7	0	60	2543.5	0	A0A210Q2I6	present
UP000242457	Apis cerana cerana (Oriental honeybee)	94128	metazoa_nonvert	9931	1	1	5	3777.6	0	A0A2A3ES56	present
UP000242913	Onchocerca flexuosa	387005	metazoa_nonvert	8122	1	5	7	2537.7	0	A0A238BHZ9	present
UP000243686	Opisthorchis viverrini (Southeast Asian liver fluke)	6198	metazoa_nonvert	10745	2	4	13	869.1	3.7e-258	A0A1S8X8A6	present
UP000249218	Helicoverpa armigera (Cotton bollworm) (Heliothis armigera)	29058	metazoa_nonvert	8765	0	5	6				absent
UP000250275	Eufriesea mexicana	516756	metazoa_nonvert	7068	1	0	3	3691.9	0	A0A310SI82	present
UP000252519	Ancylostoma caninum (Dog hookworm)	29170	metazoa_nonvert	29972	3	4	8	1203.6	0	A0A368GNZ1	present
UP000267027	Angiostrongylus costaricensis (Nematode worm)	334426	metazoa_nonvert	13350	2	2	12	1343.4	0	A0A158PK86	present
UP000267029	Mesocestoides corti (Flatworm)	53468	metazoa_nonvert	10572	0	1	9				absent
UP000267096	Anisakis simplex (Herring worm)	6269	metazoa_nonvert	20779	1	13	22	2643.8	0	A0A158PMT1	present
UP000267606	Onchocerca flexuosa	387005	metazoa_nonvert	16057	3	7	13	580.5	3.8e-171	A0A183GZN8	present
UP000268014	Haemonchus placei (Barber's pole worm)	6290	metazoa_nonvert	21409	3	6	12	990.1	1.3e-294	A0A3P7XVX9	present
UP000268350	Drosophila guanche (Fruit fly)	7266	metazoa_nonvert	17569	1	1	9	3735.6	0	A0A3B0KF80	present
UP000270094	Strongylus vulgaris (Blood worm)	40348	metazoa_nonvert	20844	4	6	6	946.9	1.4e-281	A0A3P7J5Y5	present
UP000270296	Soboliphyme baturini	241478	metazoa_nonvert	13153	4	4	11	665.5	9.3e-197	A0A183IC91	present
UP000270924	Wuchereria bancrofti	6293	metazoa_nonvert	13000	1	1	10	2462.5	0	A0A3P7G9M1	present
UP000271087	Onchocerca ochengi (Filarial nematode worm)	42157	metazoa_nonvert	13353	1	3	8	1219.0	0	A0A3P6SAQ4	present
UP000271098	Gongylonema pulchrum	637853	metazoa_nonvert	26895	3	5	30	354.9	3.7e-103	A0A3P6QHA2	present
UP000271162	Nippostrongylus brasiliensis (Rat hookworm)	27835	metazoa_nonvert	22636	4	10	19	1082.0	0	A0A0N4Y873	present
UP000271889	Cylicostephanus goldi (Nematode worm)	71465	metazoa_nonvert	13786	0	6	8				absent
UP000271974	Elysia chlorotica (Eastern emerald elysia) (Sea slug)	188477	metazoa_nonvert	23836	6	3	20	3661.3	0	A0A3S1BJY0	present
UP000272942	Echinostoma caproni	27848	metazoa_nonvert	18535	2	6	15	75.6	6e-19	A0A183AW48	present
UP000274131	Enterobius vermicularis (Human pinworm)	51028	metazoa_nonvert	12840	1	2	9	2610.9	0	A0A0N4V2Y0	present
UP000274429	Hydatigera taeniaeformis (Feline tapeworm) (Taenia taeniaeformis)	6205	metazoa_nonvert	11591	0	2	11				absent
UP000274756	Dracunculus medinensis (Guinea worm)	318479	metazoa_nonvert	10868	1	2	7	2407.4	0	A0A158Q3L2	present
UP000275408	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	46731	metazoa_nonvert	25411	1	1	17	3688.1	0	A0A3M6TGS7	present
UP000275846	Schistocephalus solidus (Tapeworm)	70667	metazoa_nonvert	20172	0	5	7				absent
UP000276776	Thelazia callipaeda (Oriental eyeworm) (Parasitic nematode)	103827	metazoa_nonvert	10885	2	3	10	1759.7	0	A0A158RB35	present
UP000276991	Acanthocheilonema viteae (Filarial nematode worm) (Dipetalonema viteae)	6277	metazoa_nonvert	10007	2	2	9	2176.0	0	A0A498S7B5	present
UP000277928	Litomosoides sigmodontis (Filarial nematode worm)	42156	metazoa_nonvert	9894	1	2	9	2392.1	0	A0A3P6SQ38	present
UP000278627	Brugia pahangi (Filarial nematode worm)	6280	metazoa_nonvert	14545	1	1	10	2336.8	0	A0A158PS69	present
UP000278807	Rodentolepis nana (Dwarf tapeworm) (Hymenolepis nana)	102285	metazoa_nonvert	13592	0	5	18				absent
UP000280834	Brugia timori	42155	metazoa_nonvert	15861	3	2	6	1291.4	0	A0A0R3QMQ1	present
UP000281553	Dibothriocephalus latus (Fish tapeworm) (Diphyllobothrium latum)	60516	metazoa_nonvert	19927	0	9	8				absent
UP000282613	Taenia asiatica (Asian tapeworm)	60517	metazoa_nonvert	10244	0	5	25				absent
UP000283509	Penaeus vannamei (Whiteleg shrimp) (Litopenaeus vannamei)	6689	metazoa_nonvert	25399	3	4	8	1629.7	0	A0A3R7M9L5	present
UP000285301	Dinothrombium tinctorium	1965070	metazoa_nonvert	13518	2	2	15	3797.6	0	A0A3S3NU49	present
UP000288716	Leptotrombidium deliense	299467	metazoa_nonvert	14651	2	4	8	2659.8	0	A0A443SIG1	present
UP000290809	Schistosoma bovis (Blood fluke)	6184	metazoa_nonvert	11348	1	4	9	136.2	3.1e-37	A0A430Q426	present
