branch_lengths	model	axis	rate	loglik	shape	argmax	at_boundary
ultrametric	ARD	loss	5.62341	-377.809	monotone decreasing	1e-06	1
ultrametric	ARD	loss	10	-663.56	monotone decreasing	1e-06	1
ultrametric	ARD	loss	17.7828	-1141.32	monotone decreasing	1e-06	1
ultrametric	ARD	loss	31.6228	-1877.01	monotone decreasing	1e-06	1
ultrametric	ARD	loss	56.2341	-2861.77	monotone decreasing	1e-06	1
ultrametric	ARD	loss	100	-3532.34	monotone decreasing	1e-06	1
ultrametric	ARD	gain	1e-06	-6.97444	monotone increasing	100	1
ultrametric	ARD	gain	1.77828e-06	-6.39957	monotone increasing	100	1
ultrametric	ARD	gain	3.16228e-06	-5.8253	monotone increasing	100	1
ultrametric	ARD	gain	5.62341e-06	-5.25211	monotone increasing	100	1
ultrametric	ARD	gain	1e-05	-4.6808	monotone increasing	100	1
ultrametric	ARD	gain	1.77828e-05	-4.11283	monotone increasing	100	1
ultrametric	ARD	gain	3.16228e-05	-3.55069	monotone increasing	100	1
ultrametric	ARD	gain	5.62341e-05	-2.99862	monotone increasing	100	1
ultrametric	ARD	gain	0.0001	-2.46358	monotone increasing	100	1
ultrametric	ARD	gain	0.000177828	-1.95629	monotone increasing	100	1
ultrametric	ARD	gain	0.000316228	-1.49174	monotone increasing	100	1
ultrametric	ARD	gain	0.000562341	-1.08751	monotone increasing	100	1
ultrametric	ARD	gain	0.001	-0.758821	monotone increasing	100	1
ultrametric	ARD	gain	0.00177828	-0.511853	monotone increasing	100	1
ultrametric	ARD	gain	0.00316228	-0.340426	monotone increasing	100	1
ultrametric	ARD	gain	0.00562341	-0.229307	monotone increasing	100	1
ultrametric	ARD	gain	0.01	-0.16091	monotone increasing	100	1
ultrametric	ARD	gain	0.0177828	-0.120245	monotone increasing	100	1
ultrametric	ARD	gain	0.0316228	-0.096555	monotone increasing	100	1
ultrametric	ARD	gain	0.0562341	-0.082847	monotone increasing	100	1
ultrametric	ARD	gain	0.1	-0.074817	monotone increasing	100	1
ultrametric	ARD	gain	0.177828	-0.069854	monotone increasing	100	1
