symbol	ensembl_gene	status
ADGRD1-AS2	ENSG00000256810	background
ADGRD2	ENSG00000180264	background
ADGRE1	ENSG00000174837	background
ADGRE2	ENSG00000127507	background
ADGRE3	ENSG00000131355	background
ADGRE4P	ENSG00000268758	background
ADGRE5	ENSG00000123146	background
ADGRF1	ENSG00000153292	background
ADGRF2P	ENSG00000164393	background
ADGRF3	ENSG00000173567	background
ADGRF4	ENSG00000153294	background
ADGRF5	ENSG00000069122	background
ADGRF5-AS1	ENSG00000225730	background
ADGRF5P1	ENSG00000227582	background
ADGRF5P2	ENSG00000204818	background
ADGRG1	ENSG00000205336	background
ADGRG2	ENSG00000173698	wanted
ADGRG3	ENSG00000182885	background
ADGRG4	ENSG00000156920	background
ADGRG5	ENSG00000159618	background
ADGRG6	ENSG00000112414	background
ADGRG7	ENSG00000144820	background
ADGRL1	ENSG00000072071	background
ADGRL1-AS1	ENSG00000267169	background
ADGRL2	ENSG00000117114	background
ADGRL3	ENSG00000150471	background
ADGRL3-AS1	ENSG00000248692	background
ADGRL4	ENSG00000162618	wanted
ADGRV1	ENSG00000164199	background
ADH1A	ENSG00000187758	background
ADH1B	ENSG00000196616	background
ADH1C	ENSG00000248144	background
ADH4	ENSG00000198099	background
ADH5	ENSG00000197894	background
ADH5P2	ENSG00000232676	background
ADH5P3	ENSG00000223694	background
ADH5P4	ENSG00000233859	background
ADH5P5	ENSG00000234865	background
ADH6	ENSG00000172955	background
ADH7	ENSG00000196344	background
ADHFE1	ENSG00000147576	background
ADI1	ENSG00000182551	background
ADI1P1	ENSG00000235102	background
ADI1P2	ENSG00000250684	background
ADI1P3	ENSG00000258369	background
ADIG	ENSG00000182035	background
ADIPINT	ENSG00000292223	background
ADIPOQ	ENSG00000181092	background
ADIPOQ-AS1	ENSG00000226482	background
ADIPOR1	ENSG00000159346	wanted
ADIPOR1P1	ENSG00000232497	background
ADIPOR1P2	ENSG00000258805	background
ADIPOR2	ENSG00000006831	background
ADIRF	ENSG00000148671	background
ADIRF-AS1	ENSG00000272734	background
ADISSP	ENSG00000101220	background
ADISSPP1	ENSG00000271547	background
ADISSPP2	ENSG00000260082	background
ADK	ENSG00000156110	background
ADK-AS1	ENSG00000232342	background
ADM	ENSG00000148926	background
ADM-DT	ENSG00000254554	background
ADM2	ENSG00000128165	background
ADM5	ENSG00000224420	background
ADNP	ENSG00000101126	wanted
ADNP-AS1	ENSG00000259456	background
ADNP2	ENSG00000101544	background
ADO	ENSG00000181915	background
ADORA1	ENSG00000163485	background
ADORA1-AS1	ENSG00000224671	background
ADORA1-AS2	ENSG00000234775	background
ADORA2A	ENSG00000128271	background
ADORA2A-AS1	ENSG00000178803	background
ADORA2B	ENSG00000170425	background
ADORA2BP1	ENSG00000236136	background
ADORA3	ENSG00000282608	background
ADPGK	ENSG00000159322	background
ADPGK-AS1	ENSG00000260898	background
ADPRH	ENSG00000144843	background
ADPRHL1	ENSG00000153531	background
ADPRM	ENSG00000170222	wanted
ADPRS	ENSG00000116863	background
ADRA1A	ENSG00000120907	background
