query	target	query_role	target_role	query_call	target_call	query_paralog	target_paralog	tm_query	tm_target	tm_max	rmsd	aligned	seq_identity	len_query	len_target	ok	error
model_A0A6A5BJU9	state_panel_ITPR3_8TKH	model	state_panel	ITPR	ITPR	FDP41_006910	ITPR3	0.5472	0.3152	0.5472	5.78	810	0.198	1238	2268	1	
model_A0A6A5BJU9	state_panel_ITPR3_8TLA	model	state_panel	ITPR	ITPR	FDP41_006910	ITPR3	0.4361	0.2746	0.4361	4.59	611	0.19	1238	2034	1	
model_A0A8M6Z266	model_A0A8M6Z266	model	model	ITPR	ITPR	ITPR3	ITPR3	1.0	1.0	1.0	0.0	2635	1.0	2635	2635	1	
model_A0A8M6Z266	model_A0A8M9PQQ3	model	model	ITPR	ITPR	ITPR3	ITPR2	0.7098	0.7025	0.7098	7.24	2192	0.526	2635	2665	1	
model_A0A8M6Z266	model_A0AAD9FCG5	model	model	ITPR	ITPR	ITPR3	KUDE01_003980	0.3911	0.7866	0.7866	4.23	1089	0.61	2635	1274	1	
model_A0A8M6Z266	model_A0AAE0F2K9	model	model	ITPR	ITPR	ITPR3	CYMTET_42485	0.319	0.6801	0.6801	6.11	955	0.164	2635	1135	1	
model_A0A8M6Z266	model_A0AAN0K328	model	model	ITPR	ITPR	ITPR3		0.2908	0.5636	0.5636	6.12	866	0.18	2635	1274	1	
model_A0A8M6Z266	model_G0QNB9	model	model	ITPR	ITPR	ITPR3	IMG5_057070	0.2803	0.5359	0.5359	6.83	859	0.127	2635	1273	1	
model_A0A8M6Z266	model_P11881	model	model	ITPR	ITPR	ITPR3	ITPR1	0.9245	0.9048	0.9245	4.07	2554	0.625	2635	2694	1	
model_A0A8M6Z266	model_P70227	model	model	ITPR	ITPR	ITPR3	ITPR3	0.9322	0.9203	0.9322	3.67	2556	0.734	2635	2670	1	
model_A0A8M6Z266	model_Q14573	model	model	ITPR	ITPR	ITPR3	ITPR3	0.9399	0.9275	0.9399	3.8	2597	0.74	2635	2671	1	
model_A0A8M6Z266	model_Q14643	model	model	ITPR	ITPR	ITPR3	ITPR1	0.9294	0.9092	0.9294	3.91	2559	0.624	2635	2695	1	
model_A0A8M6Z266	model_Q63269	model	model	ITPR	ITPR	ITPR3	ITPR3	0.9239	0.9122	0.9239	3.93	2555	0.733	2635	2670	1	
model_A0A8M6Z266	model_Q8WSR4	model	model	ITPR	ITPR	ITPR3		0.9179	0.8971	0.9179	4.15	2548	0.564	2635	2698	1	
model_A0A8M6Z266	model_Q9Y0A1	model	model	ITPR	ITPR	ITPR3		0.4389	0.6521	0.6521	5.88	1298	0.32	2635	1713	1	
model_A0A8M6Z266	model_Q9Z329	model	model	ITPR	ITPR	ITPR3	ITPR2	0.885	0.8745	0.885	4.93	2515	0.62	2635	2668	1	
model_A0A8M6Z266	reference_ITPR1_7LHF	model	reference	ITPR	ITPR	ITPR3	ITPR1	0.8195	0.9337	0.9337	3.88	2286	0.607	2635	2300	1	
model_A0A8M6Z266	reference_ITPR2_9YKK	model	reference	ITPR	ITPR	ITPR3	ITPR2	0.7841	0.947	0.947	3.52	2164	0.688	2635	2168	1	
model_A0A8M6Z266	reference_ITPR3_8TKG	model	reference	ITPR	ITPR	ITPR3	ITPR3	0.6625	0.7773	0.7773	6.51	2011	0.688	2635	2210	1	
model_A0A8M6Z266	reference_RYR1_9NMO	model	reference	ITPR	RYR	ITPR3	RYR1	0.6489	0.4131	0.6489	8.23	2115	0.137	2635	4373	1	
model_A0A8M6Z266	reference_RYR2_7U9X	model	reference	ITPR	RYR	ITPR3	RYR2	0.6601	0.433	0.6601	8.22	2144	0.139	2635	4224	1	
model_A0A8M6Z266	state_panel_ITPR3_6DQJ	model	state_panel	ITPR	ITPR	ITPR3	ITPR3	0.7996	0.9616	0.9616	2.96	2179	0.784	2635	2181	1	
model_A0A8M6Z266	state_panel_ITPR3_7T3P	model	state_panel	ITPR	ITPR	ITPR3	ITPR3	0.6731	0.8522	0.8522	5.7	1968	0.707	2635	2047	1	
model_A0A8M6Z266	state_panel_ITPR3_8TKF	model	state_panel	ITPR	ITPR	ITPR3	ITPR3	0.7017	0.8039	0.8039	6.3	2108	0.64	2635	2272	1	
model_A0A8M6Z266	state_panel_ITPR3_8TKH	model	state_panel	ITPR	ITPR	ITPR3	ITPR3	0.8172	0.9452	0.9452	3.32	2246	0.801	2635	2268	1	
